Country,  Dwellings without basic facilities,  Housing expenditure,  Rooms per person,  Household net adjusted disposable income,  Household net wealth,  Labour market insecurity,  Employment rate,  Long-term unemployment rate,  Personal earnings,  Quality of support network,  Educational attainment,  Student skills,  Years in education,  Air pollution,  Water quality,  Stakeholder engagement for developing regulations,  Voter turnout,  Life expectancy,  Self-reported health,  Life satisfaction,  Feeling safe walking alone at night,  Homicide rate,  Employees working very long hours,  Time devoted to leisure and personal care
Australia,0,20,0,32759,427064,5.4,73,1.31,49126,95,81,502,21,5,93,2.7,91,82.5,85,7.3,63.5,1.1,13.04,14.35
Austria,0.9,21,1.6,33541,308325,3.5,72,1.84,50349,92,85,492,17,16,92,1.3,80,81.7,70,7.1,80.6,0.5,6.66,14.55
Belgium,1.9,21,2.2,30364,386006,3.7,63,3.54,49675,91,77,503,19.3,15,84,2,89,81.5,74,6.9,70.1,1,4.75,15.7
Canada,0.2,22,2.6,30854,423849,6,73,0.77,47622,93,91,523,17.3,7,91,2.9,68,81.9,88,7.4,82.2,1.3,3.69,14.56
Chile,9.4,18,1.2,0,100967,8.7,63,0,25879,85,65,443,17.5,16,71,1.3,47,79.9,57,6.5,47.9,4.2,9.72,0
Colombia,23.9,17,1.2,0,0,0,67,0.79,0,89,54,410,14.1,10,75,1.4,53,76.2,0,6.3,44.4,24.5,26.56,0
Czech Republic,0.7,24,1.4,21453,0,3.1,74,1.04,25372,91,94,491,17.9,20,87,1.6,61,79.1,60,6.7,72.3,0.5,5.65,0
Denmark,0.5,23,1.9,29606,118637,4.2,74,1.31,51466,95,81,504,19.5,9,95,2,86,80.9,71,7.6,83.5,0.6,2.34,15.87
Estonia,7,17,1.6,19697,159373,3.8,74,1.92,24336,92,89,524,17.7,8,84,2.7,64,77.8,53,5.7,69,3.1,2.42,14.9
Finland,0.5,23,1.9,29943,200827,3.9,70,2.13,42964,95,88,523,19.8,6,95,2.2,67,81.5,70,7.6,85.1,1.3,3.81,15.17
France,0.5,21,1.8,31304,280653,7.6,65,4,43755,90,78,496,16.5,13,81,2.1,75,82.4,66,6.5,70.5,0.5,7.67,16.36
Germany,0.2,20,1.8,34294,259667,2.7,75,1.57,47585,90,87,508,18.1,14,91,1.8,76,81.1,65,7,72.5,0.5,4.26,15.62
Greece,0.5,23,1.2,17700,150134,29.8,53,15.65,26064,80,73,458,19,18,69,1.8,64,81.5,74,5.4,60,0.8,6.42,0
Hungary,4.7,19,1.2,0,104458,4.7,68,1.72,22576,86,84,474,16.4,19,77,1.2,70,76.2,60,5.6,56.3,1,3.03,0
Iceland,0,24,1.6,0,0,0.7,86,0.26,61787,98,77,481,19,3,99,2.1,79,82.3,76,7.5,86,0.5,15.06,0
Ireland,1,20,2.1,25310,217130,7.8,67,3.23,47653,95,82,509,18.1,7,85,1.3,65,81.8,83,7,75.9,0.7,5.25,0
Israel,0,0,1.2,0,0,4.2,69,0.49,35067,88,87,472,15.6,21,67,2.5,72,82.5,84,7.2,69.8,1.8,15.45,0
Italy,0.7,23,1.4,26588,279889,12.3,58,6.59,36658,92,61,485,16.6,18,71,2.5,73,83.3,71,6,58.4,0.6,4.11,16.47
Japan,6.4,22,1.9,29798,305878,1.4,75,1.03,40863,89,0,529,16.4,14,87,1.4,53,84.1,36,5.9,72.5,0.2,0,0
Korea,2.5,15,1.5,21882,285980,2.6,67,0.05,35191,78,88,519,17.3,28,76,2.9,77,82.4,33,5.9,66.6,1,0,14.7
Latvia,13.9,23,1.2,16275,70160,9.6,70,3.35,23683,86,88,487,18,11,79,2.2,59,74.7,47,5.9,62.4,4.8,1.27,13.83
Lithuania,13.6,19,1.5,21660,0,0,70,2.69,24287,88,93,475,18.4,14,81,2.4,51,74.8,43,5.9,55.9,3.4,0.54,0
Luxembourg,0.5,21,1.9,39264,769053,1.7,66,2.35,63062,93,77,483,15.1,12,84,1.7,91,82.8,69,6.9,75.8,0.6,3.82,0
Mexico,25.5,20,1,0,0,5.5,61,0.07,15314,81,38,416,15.2,16,68,3.2,63,75.4,66,6.5,41.8,18.1,28.7,0
Netherlands,0.1,19,1.9,29333,157824,4.8,76,1.97,52877,91,78,508,18.7,14,93,2.6,82,81.6,76,7.4,82,0.6,0.42,0
New Zealand,0,26,2.4,0,388514,4.7,77,0.74,40043,96,79,506,17.7,5,89,2.5,80,81.7,88,7.3,65.7,1.3,15.11,14.87
Norway,0,17,2.1,35725,228936,0,74,0.66,51212,94,82,504,18.3,5,98,2.2,78,82.5,77,7.6,90.1,0.4,2.93,15.56
Poland,3,22,1.1,19814,210991,5.7,66,1.52,27046,86,92,504,17.6,22,82,2.6,55,78,58,6.1,67.3,0.7,5.95,14.42
Portugal,1,21,1.7,21203,232666,10,68,4.43,25367,88,48,497,16.9,10,86,1.5,56,81.2,48,5.4,73.4,1,8.27,0
Slovak Republic,1.2,23,1.1,20474,119696,9.9,66,4.78,24328,91,91,463,15.8,21,85,3,60,77.3,66,6.2,63.5,0.8,4.14,0
Slovenia,0.4,18,1.5,20820,203044,5.8,69,3.17,34933,92,88,509,18.3,16,90,2.5,53,81.3,64,5.9,86.1,0.6,4.39,14.75
Spain,0.1,21,1.9,23999,373548,23.1,62,7.66,38507,93,59,491,17.9,11,72,1.8,70,83.4,72,6.3,82.1,0.6,4.01,15.93
Sweden,0,19,1.7,31287,0,3.2,77,1.12,42393,91,83,496,19.3,6,96,2,86,82.4,75,7.3,75.6,0.9,1.07,15.18
Switzerland,0.1,22,1.9,37466,0,0,80,1.82,62283,93,88,506,17.5,15,95,2.3,49,83.7,78,7.5,85.3,0.6,0.37,0
Turkey,8,20,1,0,0,12.5,52,2.39,0,86,39,425,18.3,20,65,1.5,86,78,69,5.5,59.8,1.4,32.64,14.79
United Kingdom,0.3,26,1.9,28715,548392,4.5,75,1.13,43732,94,81,500,17.5,11,84,3.1,69,81.2,69,6.8,77.7,0.2,12.15,14.92
United States,0.1,19,2.4,45284,632100,7.7,70,0.66,60558,91,91,488,17.2,10,83,3.1,65,78.6,88,6.9,73.9,5.5,11.09,14.44
OECD - Total,4.4,20,1.8,33604,408376,7,68,1.78,43241,89,78,486,17.2,14,81,2.4,68,80.2,69,6.5,68.4,3.7,11.01,14.98
Non-OECD Economies,6.7,0,0,0,0,0,61,0,0,90,49,395,16.2,10,73,2.2,79,74.8,0,6.4,35.6,26.7,7.13,0
,14.8,18,0.9,0,0,0,70,1.59,0,89,94,492,16.2,15,55,0,68,71.8,43,5.8,52.8,9.6,0.14,0
,37,18,0,0,0,0,43,16.46,0,88,73,0,0,22,67,0,73,57.5,0,4.7,36.1,13.7,18.12,14.92
